"id","label","description","icon_found","icon_match","icon_filename","icon_path"
"collector_fossil_coral","Agatized Coral Fossil","A common piece of agatized coral, weather-beaten but still striking.","False","none",,
"provision_jewelry_gld_cross_necklace","Ainsworth Cross Necklace","A solid gold chain necklace with an etched gold cross.","False","none",,
"mashalaskan","Alaskan Gin Mash","A mixture of ingredients used in the production of Alaskan gin","True","item-id","mashalaskan.png","assets/items/mashalaskan.png"
"mashamerican","Alaskan Gin Mash","A blend of ingredients used in the production of Alaskan gin","True","item-id","mashamerican.png","assets/items/mashamerican.png"
"Alaskan_Ginseng","Alaskan Ginseng","A type of ginseng native to the Alaskan region, prized for its healing properties.","True","item-id","Alaskan_Ginseng.png","assets/items/Alaskan_Ginseng.png"
"Alaskan_Ginseng_Seed","Alaskan Ginseng Seed","A seed that can be planted to grow Alaskan Ginseng.","True","item-id","Alaskan_Ginseng_Seed.png","assets/items/Alaskan_Ginseng_Seed.png"
"alcohol","Alcohol","An intoxicating beverage consumed for recreational purposes.","True","item-id","alcohol.png","assets/items/alcohol.png"
"Gator_Egg_3","Aligator Egg 3","The third stage of an alligator egg.","True","item-id","Gator_Egg_3.png","assets/items/Gator_Egg_3.png"
"Gator_Egg_4","Aligator Egg 4","The fourth stage of an alligator egg.","True","item-id","Gator_Egg_4.png","assets/items/Gator_Egg_4.png"
"Gator_Egg_5","Aligator Egg 5","The final stage of an alligator egg.","True","item-id","Gator_Egg_5.png","assets/items/Gator_Egg_5.png"
"aligatormeat","Alligator Meat","Raw meat obtained from hunting alligators, suitable for cooking.","True","item-id","aligatormeat.png","assets/items/aligatormeat.png"
"aligators","Alligator Pelt","The skin of an alligator, commonly used for crafting and trading.","False","none",,
"aligatorto","Alligator Tooth","A tooth extracted from an alligator, sometimes used for decorative purposes.","False","none",,
"American_Ginseng","American Ginseng","A species of ginseng native to North America, valued for its medicinal properties.","True","item-id","American_Ginseng.png","assets/items/American_Ginseng.png"
"American_Ginseng_Seed","American Ginseng Seed","A seed that can be planted to grow American Ginseng.","True","item-id","American_Ginseng_Seed.png","assets/items/American_Ginseng_Seed.png"
"provision_disco_ammolite","Ammolite","Fossilized shell of an ammonite.","False","none",,
"provision_disco_ancient_eagle","Ancient Eagle","An ancient eagle statue.","False","none",,
"provision_disco_ancient_necklace","Ancient Necklace","An ancient necklace.","False","none",,
"oxhorn","Angus Bull horn","A sturdy horn from an Angus Bull.","True","item-id","oxhorn.png","assets/items/oxhorn.png"
"oxs","Angus Bull pelt","The thick fur and skin of an Angus Bull.","False","none",,
"Fat","Animal Fat","Rendered fat obtained from animals, commonly used in cooking and crafting.","True","item-id","Fat.png","assets/items/Fat.png"
"antipoison2","Anti Snake Poison","A poison used to fend off snakes","True","item-id","antipoison2.png","assets/items/antipoison2.png"
"antipoison","Antipoison","A medicine used to counteract the effects of poison","True","item-id","antipoison.png","assets/items/antipoison.png"
"apple","Apple","A juicy and delicious fruit","True","item-id","apple.png","assets/items/apple.png"
"apple_barrel","Apple Barrel","A barrel filled with fresh apples","False","none",,
"applebarrel","Apple Barrel","A barrel filled with fresh apples","False","none",,
"apple_basket","Apple Basket","A basket filled with fresh apples","False","none",,
"applebasket","Apple Basket","A basket filled with fresh apples","False","none",,
"mashapple","Apple Mash","A mashed mixture of apples used for various recipes","True","item-id","mashapple.png","assets/items/mashapple.png"
"consumable_applepie","Apple Pie","A freshly baked apple pie.","True","item-id","consumable_applepie.png","assets/items/consumable_applepie.png"
"Apple_Seed","Apple Seed","A seed used for growing apple trees","True","item-id","Apple_Seed.png","assets/items/Apple_Seed.png"
"armadilloc","Armadillo Claws","Sharp claws harvested from an Armadillo","False","none",,
"armadillos","Armadillo Pelt","A pelt taken from an Armadillo","False","none",,
"ammoarrowdynamite","Arrow Dynamite","An explosive arrow designed to cause significant damage upon impact.","True","item-id","ammo_arrow_dynamite.png","assets/items/ammo_arrow_dynamite.png"
"ammoarrowfire","Arrow Fire","An arrow equipped with a flaming tip, capable of setting targets on fire.","True","item-id","ammo_arrow_fire.png","assets/items/ammo_arrow_fire.png"
"ammoarrowimproved","Arrow Improved","An upgraded arrow with improved accuracy and damage.","True","item-id","ammo_arrow_improved.png","assets/items/ammo_arrow_improved.png"
"ammoarrownormal","Arrow Normal","A standard arrow used with bows for hunting and combat.","True","item-id","ammoarrownormal.png","assets/items/ammoarrownormal.png"
"ammoarrowpoison","Arrow Poison","An arrow coated with a poisonous substance, capable of inflicting additional damage over time.","True","item-id","ammo_arrow_poison.png","assets/items/ammo_arrow_poison.png"
"ammoarrowsmallgame","Arrow Small Game","A specialized arrow designed for hunting small game without damaging their pelts.","True","item-id","ammo_arrow_small_game.png","assets/items/ammo_arrow_small_game.png"
"provision_jewelry_onyx_ring","Aubrey Onyx Ring","A rare white gold ring with a bezel set diamond surrounded by polished onyx.","False","none",,
"bacon","Bacon","Bacon what else do you need to know?","True","item-id","bacon.png","assets/items/bacon.png"
"badgers","Badger skin","Skin obtained from a badger.","False","none",,
"bait","Bait","Used as bait to attract fish while fishing.","True","item-id","bait.png","assets/items/bait.png"
"provision_jewelry_topaz_ring","Banais Topaz Ring","A neat silver wedding ring with brilliant cut topaz.","False","none",,
"banana","Banana","A delicious and nutritious tropical fruit.","True","item-id","banana.png","assets/items/banana.png"
"bandage","Bandage","A medical item used to dress wounds.","True","item-id","bandage.png","assets/items/bandage.png"
"bandage_2","Bandage","A medical item used to dress wounds.","True","item-id","bandage_2.png","assets/items/bandage_2.png"
"kit_bandana","Bandana","A versatile and stylish piece of cloth that can be worn around the neck or head for various purposes. It adds a touch of fashion to any outfit.","True","item-id","kit_bandana.png","assets/items/kit_bandana.png"
"barrel","Barrel","A container made of wood or metal used for storing or transporting goods.","False","none",,
"p_barrelmoonshine","Barrel","A container, typically made of wood, used for storing and aging moonshine.","False","none",,
"bat_c","Bat","A flying mammal known for its nocturnal habits.","False","none",,
"Bay_Bolete","Bay Bolete","An edible mushroom with a brown cap and yellow pores.","True","item-id","Bay_Bolete.png","assets/items/Bay_Bolete.png"
"Bay_Bolete_Seed","Bay Bolete Seed","A seed that can be planted to grow Bay Bolete mushrooms.","True","item-id","Bay_Bolete_Seed.png","assets/items/Bay_Bolete_Seed.png"
"bear_bench","Bear Bench","A bench made from the hide and bones of a bear.","False","none",,
"bearbench","Bear Bench","A bench made from the hide and bones of a bear.","False","none",,
"bearc","Bear claws","Sharp claws obtained from a bear.","False","none",,
"beart","Bear tooth","A tooth obtained from a bear.","False","none",,
"beartrap","Beartrap","A sturdy beartrap used for catching animals or stopping trespassers","False","none",,
"provision_jewelry_rudy_dngl_earring","Beauch├¬ne Ruby Earrings","Elaborate gold hook earrings with vivid rubies.","False","none",,
"provision_jewelry_french_dmnd_ring","Beaulieux Diamond Ring","A number of old mine cut diamonds claw set in a silver ring from France.","False","none",,
"beawers","Beaver pelt","A pelt obtained from a beaver.","True","item-id","beawers.png","assets/items/beawers.png"
"beavertail","Beaver tail","A flat and scaly tail obtained from a beaver.","True","item-id","beavertail.png","assets/items/beavertail.png"
"beef","Beef","Fresh and tender beef meat.","True","item-id","beef.png","assets/items/beef.png"
"beefjerky","Beef Jerky","Dried and seasoned beef meat.","True","item-id","beefjerky.png","assets/items/beefjerky.png"
"beer","Beer","An alcoholic beverage brewed from grains.","True","item-id","beer.png","assets/items/beer.png"
"beerbox","Beer Box","A container holding multiple bottles of beer.","False","none",,
"consumable_raspberrywater","Berry Water","Refreshing water infused with berries.","True","item-id","consumable_raspberrywater.png","assets/items/consumable_raspberrywater.png"
"bigchest","Big Chest","A large chest for storing items.","False","none",,
"biggame","Big Game Meat","Meat obtained from a large game animal.","True","item-id","biggame.png","assets/items/biggame.png"
"Big_Leather","Big Leather","Large piece of leather.","True","item-id","big_leather.png","assets/items/big_leather.png"
"fishmeat","Bigfish Meat","Meat obtained from large fish species, known for its tender texture and rich flavor.","True","item-id","fishmeat.png","assets/items/fishmeat.png"
"bird","Bird Meat","Meat obtained from a bird.","True","item-id","bird.png","assets/items/bird.png"
"biscuitbox","Biscuitbox","A box of assorted biscuits.","False","none",,
"bisonhorn","Bison horn","A horn obtained from a bison.","True","item-id","bisonhorn.png","assets/items/bisonhorn.png"
"bisons","Bison pelt","A pelt obtained from a bison.","False","none",,
"Bitter_Weed","Bitter Weed","A type of bitter herb.","True","item-id","Bitter_Weed.png","assets/items/Bitter_Weed.png"
"Bitter_Weed_Seed","Bitter Weed Seed","A seed that can be planted to grow bitter weed.","True","item-id","Bitter_Weed_Seed.png","assets/items/Bitter_Weed_Seed.png"
"collector_fossil_bivalve","Bivalve Fossil","A common fossilized mollusc, badly worn.","False","none",,
"bbears","Black Bear skin","Skin obtained from a black bear.","False","none",,
"Black_Berry","Black Berry","A small and sweet black-colored berry.","True","item-id","Black_Berry.png","assets/items/Black_Berry.png"
"blackberryale","Black Berry Ale","An ale made from blackberries.","True","item-id","blackberryale.png","assets/items/blackberryale.png"
"wildCiderMash","Black Berry Mash","Mashed blackberries used for making cider.","True","item-id","wildCiderMash.png","assets/items/wildCiderMash.png"
"wildCiderMoonshine","Black Berry Moonshine","Homemade moonshine crafted from blackberries.","True","item-id","wildCiderMoonshine.png","assets/items/wildCiderMoonshine.png"
"Black_Berry_Seed","Black Berry Seed","A seed that can be planted to grow blackberries.","True","item-id","Black_Berry_Seed.png","assets/items/Black_Berry_Seed.png"
"Black_Currant","Black Currant","A small dark purple berry with a tart flavor.","True","item-id","Black_Currant.png","assets/items/Black_Currant.png"
"Black_Currant_Seed","Black Currant Seed","A seed that can be planted to grow black currants.","True","item-id","Black_Currant_Seed.png","assets/items/Black_Currant_Seed.png"
"squirrel_black_c","Black Squirrel","A black squirrel","False","none",,
"mashblackberry","Blackberry Mash","A mashed mixture of blackberries used in cooking and beverages","True","item-id","mashblackberry.png","assets/items/mashblackberry.png"
"mashblackberry90p","Blackberry Mash 90p","A concentrated blackberry mash used for crafting high-quality beverages","True","item-id","mashblackberry90p.png","assets/items/mashblackberry90p.png"
"fsnakes","Blacktail rattlesnake pelt","The skin of a blacktail rattlesnake.","False","none",,
"blanket_box","Blanket Box","A box used for storing blankets.","False","none",,
"blanketbox","Blanket Box","A box used for storing blankets.","False","none",,
"fertilizerbless","Blessed Fertilizer","Sacred fertilizer imbued with spiritual blessings, known to enhance crop yield.","True","item-id","fertilizerbless.png","assets/items/fertilizerbless.png"
"Blood_Flower","Blood Flower","A type of flower with red petals.","True","item-id","Blood_Flower.png","assets/items/Blood_Flower.png"
"Blood_Flower_Seed","Blood Flower Seed","A seed that can be planted to grow blood flowers.","True","item-id","Blood_Flower_Seed.png","assets/items/Blood_Flower_Seed.png"
"bluejay_c","Blue jay","A colorful bird known as blue jay.","False","none",,
"blueberry","Blueberry","A small sweet fruit with a bluish color.","True","item-id","blueberry.png","assets/items/blueberry.png"
"consumable_blueberrypie","Blueberry Pie","A delicious pie made with blueberries.","True","item-id","consumable_blueberrypie.png","assets/items/consumable_blueberrypie.png"
"boaskin","Boa Snake pelt","A snake skin obtained from a boa.","True","item-id","boaskin.png","assets/items/boaskin.png"
"provision_hrlm_brush_boar","Boar bristle Brush","A beautifully made boar bristle brush.","False","none",,
"boars","Boar pelt","A pelt obtained from a boar.","False","none",,
"boarmusk","Boar tusk","A large tusk obtained from a boar.","True","item-id","boarmusk.png","assets/items/boarmusk.png"
"boiledegg","Boiled Egg","An egg cooked by boiling.","True","item-id","boiledegg.png","assets/items/boiledegg.png"
"ammobolahawk","Bola Ammo Hawk","A projectile consisting of weights attached to ropes, used to immobilize targets.","True","item-id","ammobolahawk.png","assets/items/ammobolahawk.png"
"ammobolainterwired","Bola Ammo Interwired","A reinforced bola ammunition with interwoven materials, providing enhanced durability.","True","item-id","ammobolainterwired.png","assets/items/ammobolainterwired.png"
"ammobolaironspiked","Bola Ammo Ironspiked","A bola ammunition featuring iron spikes, inflicting additional damage to immobilized targets.","True","item-id","ammobolaironspiked.png","assets/items/ammobolaironspiked.png"
"ammobolla","Bolla Ammo","A weighted throwing weapon used to ensnare and immobilize targets.","True","item-id","ammobolla.png","assets/items/ammobolla.png"
"bolts","Bolts","Metal bolts often used in construction.","True","item-id","bolts.png","assets/items/bolts.png"
"provision_db_finger_bone","Bone","A small bone possibly from a finger.","False","none",,
"provision_arrowhead_bone","Bone Arrowhead","A serrated arrowhead made from animal bone.","False","none",,
"provision_jewelry_pearl_ring","Bonnard Pearl Ring","A valuable pearl set into a white gold band.","False","none",,
"book","Book","A written or printed work consisting of pages.","True","item-id","book.png","assets/items/book.png"
"provision_jewelry_emerald_ring","Bosque Emerald Ring","A gold band with an extravagant bezel set Columbian emerald.","False","none",,
"bcandle","Bottle Candle","A candle made from a glass bottle.","False","none",,
"bountylicns","Bounty Hunter License","A license granting permission to be a bounty hunter.","True","item-id","bountylicns.png","assets/items/bountylicns.png"
"bouquet","Bouquet","A collection of flowers arranged in an artistic way.","False","none",,
"cordbow","Bow Cord","Cord used for making a bow.","True","item-id","cordbow.png","assets/items/cordbow.png"
"provision_hrlm_comb_boxwood","Boxwood Comb","A finley made boxwood comb.","False","none",,
"collector_fossil_brachiopod","Brachiopod Fossil","A common Brachiopod fossil with some chips and scrapes.","False","none",,
"unique_brad_horsesugar","Brad Horse Sugar","Sugar used for horses owned by Brad.","True","item-id","unique_brad_horsesugar.png","assets/items/unique_brad_horsesugar.png"
"provision_bra_shield","Brass Shield","An old brass shield. Probably valuable.","False","none",,
"provision_jewelry_porcelain_necklace","Braxton Amethyst Necklace","A fashionable necklace with a porcelain hand painted miniature.","False","none",,
"p_baitBread01x","Bread Bait","A piece of bread used as bait for fishing.","True","item-id","p_baitBread01x.png","assets/items/p_baitBread01x.png"
"consumable_breakfast","Breakfast","A hearty breakfast meal.","True","item-id","consumable_breakfast.png","assets/items/consumable_breakfast.png"
"mp001_p_mp_still02x","Brennerei","A large still used for distilling alcoholic beverages","False","none",,
"brokenpearlnecklace","Broken Pearl Necklace","A broken pearl necklace.","True","item-id","brokenpearlnecklace.png","assets/items/brokenpearlnecklace.png"
"collector_fossil_brow_horn","Brow Horn Fossil","A rare fossilized brow horn, believed to have belonged to a Triceratops.","False","none",,
"bmdresser","brown mirror dresser","A dresser with a brown mirror.","False","none",,
"bwdresser","brown wood dresser","A dresser made of brown wood.","False","none",,
"buckantler","Buck Antlers","Antlers obtained from a buck.","True","item-id","buckantler.png","assets/items/buckantler.png"
"bucks","Buck skin","A pelt obtained from a buck.","False","none",,
"bullhorn","Bull horn","A horn obtained from a bull.","True","item-id","bullhorn.png","assets/items/bullhorn.png"
"bulls","Bull pelt","A pelt obtained from a bull.","False","none",,
"Bulrush","Bulrush","A type of tall wetland plant.","True","item-id","Bulrush.png","assets/items/Bulrush.png"
"Bulrush_Seed","Bulrush Seed","A seed that can be planted to grow bulrushes.","True","item-id","Bulrush_Seed.png","assets/items/Bulrush_Seed.png"
"bunkbed","bunk bed","A bed with two tiers, designed for multiple occupants.","False","none",,
"Burdock_Root","Burdock Root","The root of a burdock plant, often used for medicinal purposes.","True","item-id","Burdock_Root.png","assets/items/Burdock_Root.png"
"Burdock_Root_Seed","Burdock Root Seed","A seed that can be planted to grow burdock roots.","True","item-id","Burdock_Root_Seed.png","assets/items/Burdock_Root_Seed.png"
"provision_jewelry_turq_stud_earring","Calumet Turquoise Earrings","Lavish gold studs with claw set turquoise stones.","False","none",,
"camera","Camera","A device used to capture photographs.","False","none",,
"flag","Camp Flag","A colorful and distinctive flag used to mark and identify a campsite or specific location.","True","item-id","flag.png","assets/items/flag.png"
"token","Camp License","A license for setting up a camp.","True","item-id","token.png","assets/items/token.png"
"campfire","Campfire","A fire pit used for cooking and warmth during camping.","True","item-id","campfire.png","assets/items/campfire.png"
"candlea","Candle","A wax candle that provides light.","False","none",,
"cane","Cane","A walking stick for support and stability.","False","none",,
"tent4","Canvas Shade","A canvas shade for shelter.","False","none",,
"provision_capitale","Capitale","Capitale. very valuable.","False","none",,
"consumable_caramel","Caramel","Sweet and sticky caramel.","True","item-id","consumable_caramel.png","assets/items/consumable_caramel.png"
"cardinal_c","Cardinal bird","A small, colorful bird known for its distinctive crest.","False","none",,
"Cardinal_Flower","Cardinal Flower","A vibrant red flower often found near water.","True","item-id","Cardinal_Flower.png","assets/items/Cardinal_Flower.png"
"Cardinal_Flower_Seed","Cardinal Flower Seed","A seed that can be planted to grow Cardinal Flowers.","True","item-id","Cardinal_Flower_Seed.png","assets/items/Cardinal_Flower_Seed.png"
"carrots","Carrot","An orange root vegetable commonly used in cooking.","True","item-id","carrots.png","assets/items/carrots.png"
"cedarwaxwing_c","Cedar waxwing","A medium-sized bird with a distinctive crest and red tips on its wings.","False","none",,
"collector_fossil_cephalopod","Cephalopod Fossil","A common cephalopod fossil. Slightly damaged and brittle.","False","none",,
"Chanterelles","Chanterelles","A type of edible mushroom with a fruity aroma.","True","item-id","Chanterelles.png","assets/items/Chanterelles.png"
"consumable_herb_chanterelles","Chanterelles","A bundle of Chanterelle mushrooms.","True","item-id","consumable_herb_chanterelles.png","assets/items/consumable_herb_chanterelles.png"
"Chanterelles_Seed","Chanterelles Seed","A seed that can be planted to grow Chanterelles mushrooms.","True","item-id","Chanterelles_Seed.png","assets/items/Chanterelles_Seed.png"
"char","Char","A type of fish commonly found in cold, deep lakes and rivers.","True","item-id","char.png","assets/items/char.png"
"p_baitCheese01x","Cheese Bait","A soft cheese bait, favored by fish with a strong sense of smell like catfish.","True","item-id","p_baitCheese01x.png","assets/items/p_baitCheese01x.png"
"cheesecake","Cheesecake","A tasty cheesecake.","True","item-id","cheesecake.png","assets/items/cheesecake.png"
"provision_hrlm_comb_cherrywood","Cherrywood Comb","A exquisite cheerywood comb.","False","none",,
"chestc","Chest C","A storage container used to store items securely.","False","none",,
"chewingtobacco","Chewing Tobacco","A form of tobacco that is chewed rather than smoked.","True","item-id","chewingtobacco.png","assets/items/chewingtobacco.png"
"chickenf","Chicken feather","A feather obtained from a chicken.","False","none",,
"chickenheart","Chicken heart","The internal organ of a chicken.","True","item-id","chickenheart.png","assets/items/chickenheart.png"
"consumable_chickenpie","Chicken Pie","A delicious pie made with chicken.","True","item-id","consumable_chickenpie.png","assets/items/consumable_chickenpie.png"
"chipmunk_c","Chipmunk","A small, striped rodent known for its burrowing habits.","False","none",,
"provision_arrowhead_chipped","Chipped Arrowhead","A hurriedly made arrowhead made from chiseled flint.","False","none",,
"Choc_Daisy","Choc Daisy","A beautiful Choc Daisy.","True","item-id","Choc_Daisy.png","assets/items/Choc_Daisy.png"
"Choc_Daisy_Seed","Choc Daisy Seed","A seed to grow Choc Daisies.","True","item-id","Choc_Daisy_Seed.png","assets/items/Choc_Daisy_Seed.png"
"consumable_chocolate","Chocolate Bar","A delicious chocolate bar.","True","item-id","consumable_chocolate.png","assets/items/consumable_chocolate.png"
"chococake","Chocolate Cake","A tasty chocolate cake.","True","item-id","chococake.png","assets/items/chococake.png"
"consumable_chocolatecake","Chocolate Cake","A tasty chocolate cake.","True","item-id","consumable_chocolatecake.png","assets/items/consumable_chocolatecake.png"
"consumable_chocolatecoffee","Chocolate Coffee","A chocolate flaverd coffee drink.","True","item-id","consumable_chocolatecoffee.png","assets/items/consumable_chocolatecoffee.png"
"cigarettefilter","Cig Filter","A filter for cigarettes.","True","item-id","cigarettefilter.png","assets/items/cigarettefilter.png"
"cigar","Cigar","A fine cigar for relaxing.","True","item-id","cigar.png","assets/items/cigar.png"
"provision_ro_flower_cigar","Cigar Orchid","The Cigar Orchid can be identified by the inflorescence which can produce around five hundred bright yellow flowers with purple and brown markings.","False","none",,
"cigarette","Cigarette","A cigarette for a quick smoke.","True","item-id","cigarette.png","assets/items/cigarette.png"
"provision_ro_flower_clamshell","Clamshell Orchid","The Clamshell Orchid can be identified by the deep purple and white petals with yellow streaks, and thin leaves.","False","none",,
"guitar","Classic Guitar","A traditional six-string guitar.","False","none",,
"clay","Clay","A block of clay for crafting.","True","item-id","clay.png","assets/items/clay.png"
"cleanser","Cleanser","A cleanser for various uses.","True","item-id","cleanser.png","assets/items/cleanser.png"
"cloth","Cloth","Simple cloth with many uses.","True","item-id","cloth.png","assets/items/cloth.png"
"cloth_bench","Cloth Bench","A bench made of cloth material.","False","none",,
"clothbench","Cloth Bench","A bench made of cloth material.","False","none",,
"clothes_line","Clothes Line","A line for hanging clothes.","True","item-id","clothes_line.png","assets/items/clothes_line.png"
"clothesline","Clothes Line","A line for hanging clothes.","True","item-id","clothes_line.png","assets/items/clothes_line.png"
"coal","Coal","A chunk of coal for fuel.","True","item-id","coal.png","assets/items/coal.png"
"cocoa","Cocoa","Cocoa beans for making chocolate.","True","item-id","cocoa.png","assets/items/cocoa.png"
"cocoaseeds","Cocoa Seeds","Seeds to grow cocoa plants.","True","item-id","cocoaseeds.png","assets/items/cocoaseeds.png"
"consumable_coffee","Coffee","A warm cup of coffee.","True","item-id","consumable_coffee.png","assets/items/consumable_coffee.png"
"coffeebeans","Coffee Beans","Coffee beans for making that beautiful brew.","True","item-id","coffeebeans.png","assets/items/coffeebeans.png"
"consumable_coffeecake","Coffee Cake","A delicious coffee cake.","True","item-id","consumable_coffeecake.png","assets/items/consumable_coffeecake.png"
"coffeefilter","Coffee Filter","A simple coffee filter.","True","item-id","coffeefilter.png","assets/items/coffeefilter.png"
"undertaker1","Coffin","A wooden coffin.","False","none",,
"coffindecor","Coffin Decor","Decorations for a coffin.","False","none",,
"money_coin","Coin","A simple metal coin","False","none",,
"money_coinpurse","Coin Purse","A small coin purse.","False","none",,
"loonb","Common loon beak","The beak of a common loon bird","True","item-id","loonb.png","assets/items/loonb.png"
"loonf","Common loon feather","A beautiful feather from a common loon bird","True","item-id","loonf.png","assets/items/loonf.png"
"collector_fossil_pet_wood","Common Petrified Wood Fossil","A common chunk of wood turned to stone over the years.","False","none",,
"sparrow0_c","Common Sparrow","A common sparrow","False","none",,
"condenser","Condenser","A device used to condense substances.","False","none",,
"condorb","Condor beak","A beak from a condor bird.","False","none",,
"condorf","Condor feather","A beautiful feather from a condor.","False","none",,
"CookedBigGameMeat","Cooked Big Game Meat","nice item","False","none",,
"cookedbluegil","Cooked Bluegil with Veggies","A cooked Bluegil fish served with vegetables.","True","item-id","cookedbluegil.png","assets/items/cookedbluegil.png"
"consumable_trout","Cooked Trout","A cooked and seasoned trout.","True","item-id","consumable_trout.png","assets/items/consumable_trout.png"
"copper","Copper","A piece of copper.","True","item-id","copper.png","assets/items/copper.png"
"pipecopper","Copper Pipe","A pipe made of copper.","True","item-id","pipecopper.png","assets/items/pipecopper.png"
"asnakes","Copperhead Snake pelt","A valuable pelt from a Copperhead Snake.","False","none",,
"bbirdb","Cormorant beak","Beak obtained from a cormorant bird.","False","none",,
"bbirdf","Cormorant feather","Feather obtained from a cormorant bird.","False","none",,
"corn","Corn","Fresh and juicy corn.","True","item-id","corn.png","assets/items/corn.png"
"p_baitCorn01x","Corn Bait","A simple bait made from corn, commonly used to attract small freshwater fish.","True","item-id","p_baitCorn01x.png","assets/items/p_baitCorn01x.png"
"cornseed","Corn seed","Seeds for growing corn.","True","item-id","cornseed.png","assets/items/cornseed.png"
"cougars","Cougar skin","The thick and durable skin of a cougar.","False","none",,
"cougar_taxidermy","Cougar Taxidermy","A taxidermy mount of a cougar.","False","none",,
"cougartaxi","Cougar Taxidermy","A taxidermy mount of a cougar.","False","none",,
"cougarf","Cougar tooth","A sharp tooth from a cougar.","False","none",,
"cowh","Cow horn","A long and curved horn from a cow.","False","none",,
"cows","Cow pelt","The soft and furry pelt of a cow.","False","none",,
"coyote_pelt","Coyote Pelt","The fur pelt of a coyote.","True","item-id","coyote_pelt.png","assets/items/coyote_pelt.png"
"coyotepelt","Coyote Pelt","The fur pelt of a coyote.","True","item-id","coyote_pelt.png","assets/items/coyote_pelt.png"
"coyotes","Coyote skin","The rugged and weathered skin of a coyote.","False","none",,
"coyote_taxidermy","Coyote Taxidermy","A taxidermy mount of a coyote.","False","none",,
"coyotetaxi","Coyote Taxidermy","A taxidermy mount of a coyote.","False","none",,
"coyotef","Coyote tooth","A sharp tooth from a coyote.","False","none",,
"crab_c","Crab","A crab with a hard shell.","False","none",,
"crabbutter","Crab Butter","Butter made from crab. Delicious on toast.","True","item-id","crabbutter.png","assets/items/crabbutter.png"
"crablegs","Crab Legs","Legs from a crab.","True","item-id","crablegs.png","assets/items/crablegs.png"
"crafting_fire","Crafting Fire","A fire used for crafting.","False","none",,
"craftingfire","Crafting Fire","A fire used for crafting.","False","none",,
"darub","Crane beak","A long and slender beak from a crane.","False","none",,
"daruf","Crane feather","A beautiful feather from a crane.","False","none",,
"animal_crawfish","Crawfish","A small freshwater crustacean.","True","item-id","animal_crawfish.png","assets/items/animal_crawfish.png"
"crawfish_c","Crawfish","A small freshwater crustacean.","False","none",,
"p_crawdad01x","Crawfish Bait","A freshwater bait made from crawfish, used to catch larger predatory fish.","True","item-id","p_crawdad01x.png","assets/items/p_crawdad01x.png"
"p_finishdcrawd01x","Crawfish Lure","A lure that mimics the movement of a crawfish, enticing larger predatory fish.","True","item-id","p_finishdcrawd01x.png","assets/items/p_finishdcrawd01x.png"
"Creekplum","Creekplum","A small and juicy creekplum.","True","item-id","Creekplum.png","assets/items/Creekplum.png"
"Creekplum_Seed","Creekplum Seed","Seeds for growing creekplums.","True","item-id","Creekplum_Seed.png","assets/items/Creekplum_Seed.png"
